word;color;congruent;corrAns;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;Stim timestamp;key pressed;is correct;delta T;response_keybord.started;response_keybord.stopped;participant;session;date;expName;psychopyVersion;frameRate;
;;;;;;;;;;;;;;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
green;green;1;g;0;0;0;4;40.58089949993882;g;1;1.9508394000586122;40.58089949993882;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
green;red;0;r;0;1;1;5;44.579289700021036;r;1;0.7970475000329316;44.579289700021036;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
blue;green;0;g;0;2;2;10;47.41507630003616;g;1;1.2539390000747517;47.41507630003616;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
blue;red;0;r;0;3;3;9;50.709618099965155;r;1;0.6039855999406427;50.709618099965155;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
green;yellow;0;y;0;4;4;7;53.34883589996025;y;1;0.6301761999493465;53.34883589996025;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
blue;blue;1;b;0;5;5;8;56.009602200007066;b;1;0.9277527000522241;56.009602200007066;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
yellow;red;0;r;0;6;6;13;59.01008619996719;r;1;0.6070092000300065;59.01008619996719;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
yellow;yellow;1;y;0;7;7;12;61.659988799947314;y;1;0.44219620001967996;61.659988799947314;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
red;yellow;0;y;0;8;8;3;64.14466370001901;y;1;0.3762348999734968;64.14466370001901;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
yellow;blue;0;b;0;9;9;15;66.56033260002732;b;1;0.6766778000164777;66.56033260002732;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
green;blue;0;b;0;10;10;6;69.27570879994892;b;1;0.5595068999100477;69.27570879994892;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
blue;yellow;0;y;0;11;11;11;71.86334239994176;y;1;0.4842826999956742;71.86334239994176;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
red;blue;0;b;0;12;12;2;74.39782600000035;b;1;0.6547376998933032;74.39782600000035;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
yellow;green;0;g;0;13;13;14;77.10899350000545;y;0;0.5611493000760674;77.10899350000545;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
red;green;0;g;0;14;14;1;79.7135751999449;g;1;0.3538788999430835;79.7135751999449;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
red;red;1;r;0;15;15;0;82.10899049998261;r;1;0.6431812000228092;82.10899049998261;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
red;red;1;r;1;0;16;0;84.79235450003762;r;1;0.485297100036405;84.79235450003762;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
green;red;0;r;1;1;17;5;87.32513140002266;r;1;0.43937590008135885;87.32513140002266;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
red;blue;0;b;1;2;18;2;89.81356559996493;b;1;0.6401115999324247;89.81356559996493;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
blue;green;0;g;1;3;19;10;92.49183489999268;g;1;0.6403247000416741;92.49183489999268;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
yellow;blue;0;b;1;4;20;15;95.19154769997112;b;1;0.7271915000164881;95.19154769997112;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
yellow;green;0;g;1;5;21;14;97.95885519997682;y;0;0.5350600000238046;97.95885519997682;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
green;green;1;g;1;6;22;4;100.52581739996094;y;0;0.4286300999810919;100.52581739996094;None;Sasha;001;2022_Feb_21_1450;stroop_pup;2021.2.3;60.013779170807645;
